
method,ccn,ccn2,cloc,eloc,lloc,loc,ncloc,npath,
ftp_base,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
__construct,4.0,4.0,0.0,31.0,31.0,31.0,31.0,15.0,  
parselisting,11.0,13.0,2.0,59.0,53.0,61.0,59.0,41.0,  
SendMSG,3.0,3.0,0.0,7.0,4.0,7.0,7.0,6.0,  
SetType,4.0,4.0,0.0,9.0,6.0,9.0,9.0,18.0,  
_settype,7.0,7.0,0.0,14.0,12.0,14.0,14.0,7.0,  
Passive,4.0,5.0,0.0,11.0,9.0,11.0,11.0,30.0,  
SetServer,9.0,10.0,2.0,30.0,27.0,32.0,30.0,78.0,  
SetUmask,1.0,1.0,0.0,6.0,4.0,6.0,6.0,1.0,  
SetTimeout,3.0,3.0,0.0,7.0,6.0,7.0,7.0,3.0,  
connect,13.0,13.0,0.0,30.0,32.0,30.0,30.0,600.0,  
quit,4.0,6.0,0.0,10.0,9.0,10.0,10.0,10.0,  
login,11.0,11.0,0.0,18.0,21.0,18.0,18.0,720.0,  
pwd,3.0,3.0,0.0,5.0,5.0,5.0,5.0,4.0,  
cdup,3.0,3.0,0.0,5.0,5.0,5.0,5.0,4.0,  
chdir,3.0,3.0,0.0,5.0,5.0,5.0,5.0,4.0,  
rmdir,3.0,3.0,0.0,5.0,5.0,5.0,5.0,4.0,  
mkdir,3.0,3.0,0.0,5.0,5.0,5.0,5.0,4.0,  
rename,6.0,6.0,0.0,9.0,11.0,9.0,9.0,20.0,  
filesize,4.0,4.0,0.0,9.0,8.0,9.0,9.0,8.0,  
abort,6.0,6.0,0.0,9.0,10.0,9.0,9.0,18.0,  
mdtm,4.0,4.0,0.0,12.0,11.0,12.0,12.0,8.0,  
systype,3.0,3.0,0.0,6.0,6.0,6.0,6.0,4.0,  
delete,3.0,3.0,0.0,5.0,5.0,5.0,5.0,4.0,  
site,3.0,3.0,0.0,5.0,5.0,5.0,5.0,4.0,  
chmod,2.0,2.0,0.0,4.0,3.0,4.0,4.0,2.0,  
restore,5.0,5.0,0.0,13.0,11.0,13.0,13.0,16.0,  
features,4.0,4.0,0.0,11.0,10.0,11.0,11.0,8.0,  
rawlist,3.0,3.0,0.0,3.0,1.0,3.0,3.0,10.0,  
nlist,3.0,3.0,0.0,3.0,1.0,3.0,3.0,10.0,  
is_exists,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
file_exists,4.0,4.0,0.0,11.0,10.0,11.0,11.0,6.0,  
fget,9.0,13.0,0.0,23.0,23.0,23.0,23.0,1152.0,  
get,12.0,16.0,0.0,34.0,35.0,34.0,34.0,9216.0,  
fput,9.0,13.0,0.0,23.0,23.0,23.0,23.0,1152.0,  
